         31553995 function calls (31400672 primitive calls) in 37.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 threading.py:1(<module>)
        1    0.000    0.000    0.003    0.003 os.py:977(popen)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
       96    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
      618    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.003    0.003 header.py:5(<module>)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 dyld.py:3(<module>)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
      277    0.000    0.000    0.003    0.000 function_base.py:431(add_newdoc)
      256    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.002    0.002 subprocess.py:656(__init__)
        1    0.000    0.000    0.002    0.002 numerictypes.py:81(<module>)
       31    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.002    0.002 basic.py:7(<module>)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:1383(_execute_child)
     2629    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
        1    0.000    0.000    0.002    0.002 surfaces.py:10(<module>)
      300    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        1    0.000    0.000    0.002    0.002 context.py:1(<module>)
      181    0.001    0.000    0.002    0.000 __init__.py:257(add_vertex)
       31    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 linecache.py:6(<module>)
      292    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 configparser.py:559(RawConfigParser)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
      117    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
     3204    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
      306    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
      618    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.001    0.001    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      618    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 fonts.py:10(<module>)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
      300    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       55    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:785(source_to_code)
        1    0.001    0.001    0.001    0.001 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      326    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     2054    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       13    0.000    0.000    0.001    0.000 enum.py:651(<listcomp>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
     3211    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       33    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
        1    0.000    0.000    0.001    0.001 baseclasses.py:3(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 framework.py:3(<module>)
  387/133    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.001    0.001 summary.py:6(<module>)
        1    0.000    0.000    0.001    0.001 colors.py:5(<module>)
        1    0.000    0.000    0.001    0.001 ffi.py:2(<module>)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
        1    0.000    0.000    0.001    0.001 blas.py:202(<module>)
      249    0.001    0.000    0.001    0.000 enum.py:69(__setitem__)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
      181    0.000    0.000    0.001    0.000 __init__.py:278(add_vertices)
     6460    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 _ccallback.py:1(<module>)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      796    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 dylib.py:3(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
      513    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.001    0.001 __init__.py:21(vendor_import)
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      181    0.001    0.000    0.001    0.000 __init__.py:3328(find)
        1    0.000    0.000    0.001    0.001 reduction.py:10(<module>)
        1    0.000    0.000    0.001    0.001 configuration.py:451(init)
      256    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 configuration.py:432(instance)
      767    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       17    0.000    0.000    0.001    0.000 enum.py:176(<setcomp>)
        2    0.000    0.000    0.001    0.000 configuration.py:283(__init__)
        4    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
       78    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
       10    0.000    0.000    0.001    0.000 request.py:445(add_handler)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
      621    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
